测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1035-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1013']/table/tbody/tr[3]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
查询类型输入框,ById,queryType-inputEl
查询类型下拉按钮,ByXPath,.//*[@id='queryType-inputCell']/following::td[1]
查询类型选项_全部,ByXPath,.//li[text()='零部件']/preceding::li[1]
查询类型选项_零部件,ByXPath,.//li[text()='零部件']
查询类型选项_半成品,ByXPath,.//li[text()='半成品']
查询类型选项_材料,ByXPath,.//li[text()='材料']
表单来源输入框,ById,isMdsOwner-inputEl
表单来源下拉按钮,ByXPath,.//*[@id='isMdsOwner-inputCell']/following::td[1]
表单来源选项_供应商提供,ByXPath,.//li[text()='供应商提供']
表单来源选项_本企业创建,ByXPath,.//li[text()='本企业创建']
表单来源选项_全部,ByXPath,.//li[text()='本企业创建']/following::li[1]
名称输入框,ById,name-inputEl
供货编号输入框,ById,symbol-inputEl
ID输入框,ById,cid-inputEl
查询时间输入框,ById,dateType-inputEl
查询时间下拉按钮,ByXPath,.//*[@id='dateType-inputCell']/following::td[1]
查询时间选项_全部时间,ByXPath,.//li[text()='全部时间']
查询时间选项_创建时间,ByXPath,.//li[text()='创建时间']
查询时间选项_更新时间,ByXPath,.//li[text()='更新时间']
查询时间选项_发布时间,ByXPath,.//li[text()='发布时间']
查询时间选项_批准时间,ByXPath,.//li[text()='批准时间']
查询时间选项_接收时间,ByXPath,.//li[text()='接收时间']
开始时间输入框,ById,dateFrom-inputEl
结束时间输入框,ById,dateTo-inputEl
查询按钮,ByXPath,".//*[starts-with(@id,'findParams')]/*[starts-with(@id,'toolbar')]/div/div/div[1]"
切换用户查询按钮,ByXPath,".//*[starts-with(@id,'findParams')]/*[starts-with(@id,'toolbar')]/div/div/div[2]"
下载记录按钮,ByXPath,".//*[starts-with(@id,'findParams')]/*[starts-with(@id,'toolbar')]/div/div/div[3]"
重置按钮,ByXPath,".//*[starts-with(@id,'findParams')]/*[starts-with(@id,'toolbar')]/div/div/div[4]"
下载按钮,ByXPath,".//*[@id='mdsInfos']/*[starts-with(@id,'toolbar')]/*[starts-with(@id,'toolbar')]/*[starts-with(@id,'toolbar')]/div"
,,
第一页提示框最外层,ById,messagebox-1001
第一页提示信息,ById,messagebox-1001-displayfield-inputEl
第一页提示框确认按钮,ById,button-1005-btnEl
第一页提示框是按钮,ById,button-1006-btnEl
第一页提示框否按钮,ById,button-1007-btnEl
第一页提示框右上角关闭按钮,ByXPath,.//*[@id='messagebox-1001_header_hd']/following::div[1]
换页载入界面,ByXPath,".//*[starts-with(@id,'loadmask-')][last()]/div[starts-with(@id,'loadmask-')]/.."
,,
输入CAMDS窗口用户名输入框,ByXPath,.//*[@id='username'][last()]/tbody/tr/td[2]/input
输入CAMDS窗口密码输入框,ByXPath,.//*[@id='password'][last()]/tbody/tr/td[2]/input
输入CAMDS窗口企业部门ID输入框,ByXPath,.//*[@id='deptId'][last()]/tbody/tr/td[2]/input
输入CAMDS窗口表格第一行用户名,ByXPath,".//*[starts-with(@id,'gridpanel')]/*[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[1]/div"
输入CAMDS窗口表格第一行企业部门ID,ByXPath,".//*[starts-with(@id,'gridpanel')]/*[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[2]/div"
输入CAMDS窗口右上角关闭按钮,ByXPath,".//*[starts-with(@id,'window')]/*[starts-with(@id,'window')]/*[starts-with(@id,'window')]/*[starts-with(@id,'window')]/*[starts-with(@id,'window')]/*[starts-with(@id,'tool')]"
输入CAMDS窗口提交按钮,ByXPath,".//*[starts-with(@id,'window')][last()]/*[starts-with(@id,'toolbar')]/*[starts-with(@id,'toolbar')]/*[starts-with(@id,'toolbar')]/*[starts-with(@id,'button')]"
,,
窗口右上方收回滑块,ByXPath,.//*[@id='tool-1080-toolEl']
窗口右上方打开滑块,ByXPath,.//*[@id='findParams-1045-placeholder-innerCt']/div/div[2]
,,
MDS信息表格第一行勾选框,ByXPath,.//*[@id='gridview-1064']/table/tbody/tr[2]/td[1]/div/div
MDS信息表格第一行ID版本号,ByXPath,.//*[@id='gridview-1064']/table/tbody/tr[2]/td[3]/div
