测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1035-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1013']/table/tbody/tr[2]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
开始时间输入框,ById,dateFrom-inputEl
结束时间输入框,ById,dateTo-inputEl
,,
CAMDS企业按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[1]
基本物质按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[2]
材料分类按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[3]
聚合物材料标识按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[4]
材料引用标准按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[5]
标准材料按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[6]
应用选项明细按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[7]
禁用物质应用选项及代码按钮,ByXPath,.//*[@id='toolbar-1009-targetEl']/div[8]
,,
结果表格,ByXPath,.//*[@id='gridview-1026']/table/tbody
结果表格所有行,ByXPath,.//*[@id='gridview-1026']/table/tbody/tr
结果表格第一行操作员,ByXPath,.//*[@id='gridview-1026']/table/tbody/tr[2]/td[2]/div
结果表格第一行同步时间,ByXPath,.//*[@id='gridview-1026']/table/tbody/tr[2]/td[3]/div
结果表格第一行同步类型,ByXPath,.//*[@id='gridview-1026']/table/tbody/tr[2]/td[4]/div
结果表格第一行参数,ByXPath,.//*[@id='gridview-1026']/table/tbody/tr[2]/td[5]/div
结果表格第一行执行结果,ByXPath,.//*[@id='gridview-1026']/table/tbody/tr[2]/td[6]/div
,,
第一页提示框最外层,ById,messagebox-1001
第一页提示信息,ById,messagebox-1001-displayfield-inputEl
第一页提示框确认按钮,ById,button-1005-btnEl
第一页提示框是按钮,ById,button-1006-btnEl
第一页提示框否按钮,ById,button-1007-btnEl
第一页提示框右上角关闭按钮,ByXPath,.//*[@id='messagebox-1001_header_hd']/following::div[1]
换页载入界面,ByXPath,".//*[starts-with(@id,'loadmask-')][last()]/div[starts-with(@id,'loadmask-')]/.."
