测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1035-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1013']/table/tbody/tr[5]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
查看按钮,ById,viewbutton-btnEl
错误信息,ById,messagebox-1001-displayfield-inputEl
错误信息确定按钮,ById,button-1005-btnEl
MSD信息选择按钮1,ByXPath,.//*[@id='gridview-1028']/table/tbody/tr[2]/td[1]/div/div
MSD信息选择按钮2,ByXPath,.//*[@id='gridview-1028']/table/tbody/tr[3]/td[1]/div/div
MDS信息所有操作按钮,ByXPath,.//*[@id='toolbar-1042-targetEl']/div
审核按钮,ById,button-1043
查看审核信息按钮,ById,viewauinfo
查看页面标题,ByXPath,.//*[@id='status']/ul/li[1]
,,
查看打开树按钮,ByXPath,.//*[@id='contentbody']/table/tbody/tr[1]/td/img[1]
查看关闭树按钮,ByXPath,.//*[@id='contentbody']/table/tbody/tr[1]/td/img[2]
符号树操作按钮,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr/td/div/img[1]
查看页树所有行,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr
母树文字,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr/td/div/span
子树文字,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div/span
,,
审核状态选择,ById,ext-gen1124
审核状态选择标注未审核,ByXPath,.//*[@id='ext-gen1018']/div/div/ul/li[3]
,,
,,
第一页按钮,ById,button-1029-btnEl
上一页按钮,ById,button-1030-btnEl
下一页按钮,ById,button-1036-btnEl
最后页按钮,ById,button-1037-btnEl
页码显示及输入框,ById,numberfield-1033-inputEl
页码总数显示,ById,tbtext-1034
换页载入界面,ById,loadmask-1047
,,
查询按钮,ById,button-1014-btnEl
