测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1039-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1029']/table/tbody/tr[5]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
标题输入框,ByXPath,.//*[@id='articleTitleTextField-inputEl']
开始时间输入框,ByXPath,.//*[@id='articleStartTimeTextField-inputEl']
结束时间输入框,ByXPath,.//*[@id='articleEndTimeTextField-inputEl']
检索按钮,ByXPath,.//*[@id='articleEndTimeTextField']/../following::td[1]/div
查看按钮,ByXPath,.//*[@id='viewbutton']
新增按钮,ByXPath,.//*[@id='addbutton']
编辑按钮,ByXPath,.//*[@id='editbutton']
删除按钮,ByXPath,.//*[@id='delbutton']
发布按钮,ByXPath,.//*[@id='publishbutton']
,,
检索结果表格,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody"
检索结果所有行,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr"
检索结果第一行勾选框,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[1]"
检索结果第一行标题,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[3]"
检索结果第一行类别,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[4]"
检索结果第一行内容,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[5]"
检索结果第一行时间,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[6]"
检索结果第一行状态,ByXPath,".//div[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[7]"
,,
第一页提示框最外层,ById,messagebox-1001
第一页提示信息,ById,messagebox-1001-displayfield-inputEl
第一页提示框确认按钮,ById,button-1005-btnEl
第一页提示框是按钮,ById,button-1006-btnEl
第一页提示框否按钮,ById,button-1007-btnEl
第一页提示框右上角关闭按钮,ByXPath,.//*[@id='messagebox-1001_header_hd']/following::div[1]
换页载入界面,ByXPath,".//*[starts-with(@id,'loadmask-')][last()]/div[starts-with(@id,'loadmask-')]/.."
