测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1039-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1029']/table/tbody/tr[6]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
品牌名称输入框,ById,bname-inputEl
车型名称输入框,ById,mname-inputEl
起始时间输入框,ById,fromTime-inputEl
终止时间输入框,ById,toTime-inputEl
检索按钮,ByXPath,.//*[@id='toTime']/following::div[1]
查看车型按钮,ByXPath,".//*[@id='modelsGrid']/div[1]/div/div/div[starts-with(@id,'button')][1]"
管理车型的高危部件清单按钮,ByXPath,".//*[@id='modelsGrid']/div[1]/div/div/div[starts-with(@id,'button')][2]"
,,
检索结果表格,ByXPath,.//*[@id='modelsGrid-body']/div/table/tbody
检索结果所有行,ByXPath,.//*[@id='modelsGrid-body']/div/table/tbody/tr
检索结果第一行品牌中文名称,ByXPath,.//*[@id='modelsGrid-body']/div/table/tbody/tr[2]/td[3]/div
检索结果第一行品牌英文名称,ByXPath,.//*[@id='modelsGrid-body']/div/table/tbody/tr[2]/td[4]/div
检索结果第一行车型中文名称,ByXPath,.//*[@id='modelsGrid-body']/div/table/tbody/tr[2]/td[5]/div
检索结果第一行车型英文名称,ByXPath,.//*[@id='modelsGrid-body']/div/table/tbody/tr[2]/td[6]/div
检索结果第一行车型记录创建时间,ByXPath,.//*[@id='modelsGrid-body']/div/table/tbody/tr[2]/td[7]/div
,,
第一页提示框最外层,ById,messagebox-1001
第一页提示信息,ById,messagebox-1001-displayfield-inputEl
第一页提示框确认按钮,ById,button-1005-btnEl
第一页提示框是按钮,ById,button-1006-btnEl
第一页提示框否按钮,ById,button-1007-btnEl
第一页提示框右上角关闭按钮,ByXPath,.//*[@id='messagebox-1001_header_hd']/following::div[1]
换页载入界面,ByXPath,".//*[starts-with(@id,'loadmask-')][last()]/div[starts-with(@id,'loadmask-')]/.."
,,
查看车型窗口输入框_品牌中文名称,ByXPath,.//*[@id='bcname-inputEl']
查看车型窗口输入框_品牌英文名称,ByXPath,.//*[@id='bename-inputEl']
查看车型窗口输入框_车型中文名称,ByXPath,.//*[@id='mcname-inputEl']
查看车型窗口输入框_车型英文名称,ByXPath,.//*[@id='mename-inputEl']
查看车型窗口输入框_车型编号,ByXPath,.//*[@id='modNo-inputEl']
查看车型窗口输入框_整车质量,ByXPath,.//*[@id='wgt-inputEl']
查看车型窗口输入框_生产年份,ByXPath,.//*[@id='ptYear-inputEl']
查看车型窗口输入框_长,ByXPath,.//*[@id='len-inputEl']
查看车型窗口输入框_宽,ByXPath,.//*[@id='wdh-inputEl']
查看车型窗口输入框_高,ByXPath,.//*[@id='hght-inputEl']
查看车型窗口输入框_填报,ByXPath,.//*[@id='mk-inputEl']
查看车型窗口关闭按钮,ByXPath,.//*[@id='modelInfoWin-body']/following::div[1]/div/div/div
,,
第二页返回按钮,ByXPath,.//*[@id='openMarkWin']/preceding::div[1]
第二页填报按钮,ByXPath,.//*[@id='openMarkWin']
第二页取消填报按钮,ByXPath,.//*[@id='removeMark']
第二页高危清单导出按钮,ByXPath,.//*[@id='rrrReport']
第二页载入页面,ByXPath,.//*[@id='maskload']
,,
BOM树查找按钮,ByXPath,.//*[@id='expandAllTree']/preceding::div[2]
BOM树刷新按钮,ByXPath,.//*[@id='expandAllTree']/preceding::div[1]
BOM树打开树按钮,ByXPath,.//*[@id='expandAllTree']
BOM树关闭树按钮,ByXPath,.//*[@id='expandAllTree']/following::div[1]
BOM树所有节点列表,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr
BOM树根节点前加减号,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div/img[1]
BOM树根节点_BOM节点,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]
BOM树第二层节点_零部件,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[3]
BOM树第三层节点_半成品,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[4]
BOM树第四层节点_材料,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[5]
BOM树第五层节点_物质,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[6]
BOM树选中节点,ByXPath,".//*[@id='btree-body']/div/table/tbody/tr[contains(@class,'x-grid-row-focused')]/td/div"
BOM树右键菜单填报按钮,ByXPath,.//*[@id='rMenu1-textEl']
BOM树右键菜单取消填报按钮,ByXPath,.//*[@id='rMenu2-textEl']
,,
BOM查找节点名称输入框,ByXPath,.//*[@id='mainform_mdsname-inputEl']
BOM查找供货编号输入框,ByXPath,.//*[@id='mainform_itemnum-inputEl']
BOM查找版本组ID输入框,ByXPath,.//*[@id='mainform_mdsid-inputEl']
BOM查找查找按钮,ByXPath,.//*[@id='btn_search-btnEl']
BOM查找关闭按钮,ByXPath,.//*[@id='btn_cancel-btnEl']
,,
弹出窗口填报按钮,ByXPath,.//*[@id='markOne-btnEl']
弹出窗口零部件通用名称输入框,ByXPath,.//*[@id='markCombo-inputEl']
弹出窗口零部件通用名称选项一,ByXPath,".//div[starts-with(@id,'boundlist')][last()]/div[starts-with(@id,'boundlist')]/ul/li[1]"
,,
下方备案参数表,ByXPath,.//*[@id='rrrCalc']/div[4]/div/table/tbody
下方备案参数表所有行,ByXPath,.//*[@id='rrrCalc']/div[4]/div/table/tbody/tr
