测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1038-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1025']/table/tbody/tr[3]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
开始时间输入框,ById,newsStartTimeTextField-inputEl
结束时间输入框,ById,newsEndTimeTextField-inputEl
消息类型输入框,ById,queryType-inputEl
消息类型选项_接收方,ByXPath,".//*[starts-with(@id,'boundlist')]/*[starts-with(@id,'boundlist')]/ul/li[1]"
消息类型选项_发送方,ByXPath,".//*[starts-with(@id,'boundlist')]/*[starts-with(@id,'boundlist')]/ul/li[2]"
查询按钮,ByXPath,.//table[@id='queryType']/../following::td[1]/div
,,
查看按钮,ByXPath,.//*[@id='viewButton']
编辑按钮,ByXPath,.//*[@id='editButton']
删除按钮,ByXPath,.//*[@id='deleteButton']
发送按钮,ByXPath,.//*[@id='sendButton']
,,
检索结果表格,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody"
检索结果所有行,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr"
检索结果第一行前方勾选框,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[1]/div"
检索结果第一行消息标题,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[3]/div"
检索结果第一行BOM节点版本号,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[4]/div"
检索结果第一行创建时间,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[5]/div"
检索结果第一行更新时间,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[6]/div"
检索结果第一行状态,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[7]/div"
检索结果第一行创建人,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[8]/div"
检索结果第一行接收人,ByXPath,".//*[starts-with(@id,'gridpanel')]/div[starts-with(@id,'gridview')]/table/tbody/tr[2]/td[9]/div"
,,
第一页提示框最外层,ById,messagebox-1001
第一页提示信息,ById,messagebox-1001-displayfield-inputEl
第一页提示框确认按钮,ById,button-1005-btnEl
第一页提示框是按钮,ById,button-1006-btnEl
第一页提示框否按钮,ById,button-1007-btnEl
第一页提示框右上角关闭按钮,ByXPath,.//*[@id='messagebox-1001_header_hd']/following::div[1]
换页载入界面,ByXPath,".//*[starts-with(@id,'loadmask-')][last()]/div[starts-with(@id,'loadmask-')]/.."
,,
查看窗口消息标题,ByXPath,.//*[@id='displayfield-1010-inputEl']
查看窗口供货编号,ByXPath,.//*[@id='displayfield-1011-inputEl']
查看窗口创建人,ByXPath,.//*[@id='displayfield-1012-inputEl']
查看窗口接收人,ByXPath,.//*[@id='displayfield-1013-inputEl']
查看窗口内容frame,ByXPath,.//*[@id='htmleditor-1014-iframeEl']
