测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1038-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1025']/table/tbody/tr[5]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
CAMDS账户输入框,ById,camdsAccount1-inputEl
CAMDS账户输入框下拉按钮,ByXPath,.//*[@id='camdsAccount1-inputCell']/following::td[1]
添加CAMDS账号按钮,ByXPath,.//*[@id='camdsAccount1']/following::div[1]
请求类型自己的,ByXPath,.//*[@id='requestType-innerCt']/tbody/tr/td[1]/table/tbody/tr/td[2]/input
请求类型已接收,ByXPath,.//*[@id='requestType-innerCt']/tbody/tr/td[2]/table/tbody/tr/td[2]/input
项目名称输入框,ById,projectName1-inputEl
材料数据表类型输入框,ById,matTypeCombo-inputEl
材料数据表类型下拉框,ByXPath,.//*[@id='matTypeCombo-inputCell']/following::td[1]
材料数据表类型_全部,ByXPath,.//li[text()='全部']
材料数据表类型_零部件,ByXPath,.//li[text()='零部件']
材料数据表类型_半成品,ByXPath,.//li[text()='半成品']
材料数据表类型_材料,ByXPath,.//li[text()='材料']
部门输入框,ById,recDeptName-inputEl
部门查找按钮,ByXPath,.//*[@id='recDeptName']/following::div[1]
截止日期起始输入框,ById,fromTime-inputEl
截止日期终止输入框,ById,toTime-inputEl
供货编号输入框,ById,symbol1-inputEl
供货名称输入框,ById,supplyName1-inputEl
已指派的材料数据表ID,ById,mdsid-inputEl
请求状态,ById,reqCombo-inputEl
请求状态下拉按钮,ByXPath,.//*[@id='reqCombo-inputCell']/following::td[1]
请求状态_已接收,ByXPath,.//li[text()='已接收']
请求状态_工作中,ByXPath,.//li[text()='工作中']
请求状态_等待批准,ByXPath,.//li[text()='等待批准']
请求状态_已批准,ByXPath,.//li[text()='已批准']
请求状态_已拒绝,ByXPath,.//li[text()='已拒绝']
请求状态_已删除,ByXPath,.//li[text()='已删除']
最后的查找按钮,ByXPath,.//*[@id='reqCombo']/following::div[1]
