测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ByXPath,.//*[@id='treepanel-1030_header_hd-textEl']/font
二级目录名称,ByXPath,.//*[@id='treeview-1033']/table/tbody/tr[4]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
修改个人密码,ByXPath,.//*[@id='button-1018-btnEl']
修改个人信息,ByXPath,.//*[@id='button-1019-btnEl']
修改页面关闭按钮,ByXPath,.//*[@id='personInfoWin_header_hd']/following::div[1]/img
修改页面用户中文名称输入框,ByXPath,.//*[@id='userCnametext-inputEl']
修改页面保存按钮,ById,savebtn-btnEl
修改页面电话输入框,ByXPath,.//*[@id='telephonetext-inputEl']
修改页面手机输入框,ByXPath,.//*[@id='mobilphonetext-inputEl']
修改页面传真输入框,ByXPath,.//*[@id='faxtext-inputEl']
修改页面电子邮箱输入框,ByXPath,.//*[@id='emailtext-inputEl']
修改页面用户登录名输入框,ByXPath,.//*[@id='loginnametext-inputEl']
用户信息,ByXPath,.//*[@id='treeview-1033']/table/tbody/tr[3]/td/div/a
姓名输入框,ByXPath,.//*[@id='userNameTextField-inputEl']
检索按钮,ByXPath,.//*[@id='button-1010-btnEl']
权限,ByXPath,.//*[@id='gridview-1019']/table/tbody/tr[2]/td[7]/div
一,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[2]/td[2]/div
二,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[3]/td[2]/div
三,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[4]/td[2]/div
四,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[5]/td[2]/div
五,ByXPath,.//*[@id='gridview-1034']/table/tbody/tr[6]/td[2]/div
原始密码,ByXPath,.//*[@id='oldpassword-inputEl']
