测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ByXPath,.//*[@id='treepanel-1030_header_hd-textEl']/font
二级目录名称,ByXPath,.//*[@id='treeview-1033']/table/tbody/tr[5]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
开始时间按钮,ByXPath,.//*[@id='logStartDate-inputCell']/following::td[1]/div
开始时间今天,ByXPath,.//*[@id='button-1045-btnEl']
结束时间按钮,ByXPath,.//*[@id='logEndDate-inputCell']/following::td[1]/div
结束时间今天,ByXPath,.//*[@id='button-1048-btnEl']
用户姓名输入框,ByXPath,.//*[@id='logUsername-inputEl']
检索按钮,ByXPath,.//*[@id='logUsername']/../../td[4]/div/em/button
按照检索条件删除,ByXPath,".//div[starts-with(@id,'toolbar')]/div/div/div[2]/em/button"
删除按钮,ByXPath,".//div[starts-with(@id,'toolbar')]/div/div/div[1]/em/button"
删除否按钮,ByXPath,.//*[@id='button-1007-btnEl']
删除是按钮,ByXPath,.//*[@id='button-1006-btnEl']
开始时间输入框,ByXPath,.//*[@id='logStartDate-inputEl']
检索结果第一行勾选框,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[1]/div/div
下一页按钮,ByXPath,.//*[@id='button-1028-btnEl']
最后页按钮,ByXPath,.//*[@id='button-1029-btnEl']
页码显示及输入框,ByXPath,.//*[@id='numberfield-1025-inputEl']
