测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ByXPath,.//*[@id='treepanel-1030_header_hd-textEl']/font
二级目录名称,ByXPath,.//*[@id='treeview-1033']/table/tbody/tr[3]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
查看按钮,ById,viewbutton
检索结果第一行勾选框,ByXPath,.//*[@id='gridview-1019']/table/tbody/tr[2]/td[1]/div/div
下一页按钮,ByXPath,.//*[@id='button-1027-btnEl']
最后页按钮,ByXPath,.//*[@id='button-1028-btnEl']
部门输入框,ByXPath,.//*[@id='deptIdTextField-inputEl']
检索按钮,ByXPath,.//*[@id='button-1010-btnEl']
姓名输入框,ByXPath,.//*[@id='userNameTextField-inputEl']
登录名输入框,ByXPath,.//*[@id='loginNameTextField-inputEl']
删除按钮,ByXPath,.//*[@id='editbutton']/following::div[1]/em/button
删除是按钮,ByXPath,.//*[@id='button-1006-btnEl']
页码显示及输入框,ByXPath,.//*[@id='numberfield-1024-inputEl']
修改按钮,ById,editbutton
重置用户密码,ByXPath,.//*[@id='mimabutton-btnEl']
紧固件科,ByXPath,.//ul/li[text()='紧固件科']
部门按钮,ByXPath,.//*[@id='deptIdTextField-inputCell']/following::td[1]/div
