测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1037-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1021']/table/tbody/tr[6]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
选择查询类型,ById,ext-gen1204
选择查询类型_全部,ByXPath,.//*[@id='boundlist-1093-listEl']/ul/li[1]
选择查询类型_零部件,ByXPath,//div[@id='boundlist-1093-listEl']/ul/li[2]
选择查询类型_半成品,ByXPath,.//*[@id='boundlist-1093-listEl']/ul/li[3]
选择查询类型_材料,ByXPath,.//*[@id='boundlist-1093-listEl']/ul/li[4]
名称输入框,ById,name-inputEl
供货编号输入框,ById,symbol-inputEl
,,
查询按钮,ById,button-1054-btnEl
查询结果表格,ByXPath,.//*[@id='gridview-1067']/table/tbody
查询结果表格所有行,ByXPath,.//*[@id='gridview-1067']/table/tbody/tr
,,
MSD信息标注按钮,ById,button-1083-btnEl
MSD信息选择按钮1,ByXPath,.//*[@id='gridview-1067']/table/tbody/tr[2]/td[1]/div/div
MSD信息选择按钮2,ByXPath,.//*[@id='gridview-1067']/table/tbody/tr[3]/td[1]/div/div
MSD信息异常信息提示确定按钮,ByXPath,.//*[@id='button-1005-btnEl']
,,
载入界面,ById,maskload
,,
MSD信息查看按钮,ById,button-1082-btnEl
MSD信息查看标注记录按钮,ById,button-1084-btnEl
MSD信息查看标注记录页面,ById,loadmask-1091
,,
查看打开树按钮,ByXPath,.//*[@id='contentbody']/table/tbody/tr[1]/td/img[1]
查看关闭树按钮,ByXPath,.//*[@id='contentbody']/table/tbody/tr[1]/td/img[2]
符号树操作按钮,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr/td/div/img[1]
,,
查看信息页标题,ByXPath,.//*[@id='status']/ul/li[1]
查看页树所有行,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr
母树文字,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr/td/div/span
母树明细文字,ById,cicname
子树文字,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td/div/span
子树明细文字,ById,cocname
,,
,,
明细下一步,ById,nextButton
企业信息标题,ByXPath,.//*[@id='status']/ul/li[1]
企业信息页上一步按钮,ById,button_text_return
,,
查看标注记录,ById,button-1084-btnEl
打开查询窗口,ById,button-1045-btnEl
部件号,ById,markCsymbol-inputEl
开始时间输入框,ById,markResultDateFrom-inputEl
结束时间输入框,ById,markResultDateTo-inputEl
查看标注记录检索,ById,button-1011-btnEl
检索结果第一行生产年份,ByXPath,.//*[@id='gridview-1029']/table/tbody/tr[2]/td[12]/div
错误信息,ById,messagebox-1001-displayfield-inputEl
检索结果所有行,ByXPath,.//*[@id='gridview-1029']/table/tbody/tr
检索结果第一行部件名称,ByXPath,.//*[@id='gridview-1029']/table/tbody/tr[2]/td[5]/div
错误信息确定按钮,ById,button-1005-btnEl
关闭查询窗口按钮,ById,button-1013-btnEl
产品名称查询,ById,markCname-inputEl
检索结果第一行产品名称,ByXPath,.//*[@id='gridview-1029']/table/tbody/tr[2]/td[6]/div
ID查询,ById,markCid-inputEl
检索结果第一行ID名称,ByXPath,.//*[@id='gridview-1029']/table/tbody/tr[2]/td[2]/div
标注状态选择,ById,ext-gen1209
标注状态选择全部,ByXPath,.//*[@id='ext-gen1018']/div/div/ul/li[1]
标注状态选择标注锁定,ByXPath,.//*[@id='ext-gen1018']/div/div/ul/li[2]
标注状态选择标注未锁定,ByXPath,.//*[@id='ext-gen1018']/div/div/ul/li[3]
检索结果第一行标注,ByXPath,.//*[@id='gridview-1067']/table/tbody/tr[2]/td[9]/div
ID主页,ById,cid-inputEl
检索结果第一行ID主页,ByXPath,.//*[@id='gridview-1067']/table/tbody/tr[2]/td[3]/div
名称主页,ById,name-inputEl
检索结果第一行产品名称主页,ByXPath,.//*[@id='gridview-1067']/table/tbody/tr[2]/td[6]/div
检索结果第一行外文名称主页,ByXPath,.//*[@id='gridview-1067']/table/tbody/tr[2]/td[7]/div
筛选标注按钮,ById,button-1087-btnEl
筛选标注页面导出按钮,ByXPath,.//*[@id='screeningMarkZtx']/div[3]/div/div/div[2]
回收处理阶段,ByXPath,.//*[@id='mater-triggerWrap']/tbody/tr[1]/td[2]/div
回收处理阶段选择1,ByXPath,.//*[@id='ext-gen1018']/div/div/ul/li[2]
材料分类,ByXPath,.//*[@id='sto_combo-triggerWrap']/tbody/tr[1]/td[2]/div
材料分类选择1,ByXPath,.//*[@id='ext-gen1018']/div/div/ul/li[9]
自动筛选,ById,button-1085-btnEl
车型信息旁的选择按钮,ById,button-1052-btnEl
新页面的刷新按钮,ById,button-1038-btnEl
,,
,,
,,
第一页按钮,ById,button-1068-btnEl
上一页按钮,ById,button-1069-btnEl
下一页按钮,ById,button-1075-btnEl
最后页按钮,ById,button-1076-btnEl
页码显示及输入框,ById,numberfield-1072-inputEl
页码总数显示,ById,tbtext-1073
换页载入界面,ById,loadmask-1091
,,
标注页面跳转标题,ById,panel-1014_header_hd-textEl
标注页面刷新按钮,ById,button-1021-btnEl
标注页面打开树按钮,ById,expandAllTree-btnEl
标注打开树所有行,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr
标注页面关闭树按钮,ById,button-1022-btnEl
标注符号树操作,ByXPath,.//*[@id='btree-body']/div/table/tbody/tr[2]/td//div/img[1]
