测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,treepanel-1014_header_hd
二级目录名称,ByXPath,html/body/div/div[2]/div/div/div[2]/div[3]/div/table/tbody/tr[4]/td/div
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
车型名称输入框,ById,bname-inputEl
零部件BOM名称输入框,ById,componentname-inputEl
责任人名称输入框,ById,serchreposibleNameltextfield-inputEl
检索车型键,ById,serchmodelButton-btnEl
查找零部件BOM键,ById,serchcomponentButton-btnEl
查询键,ById,button-1011-btnEl
检索车型子页面表格第一行,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr[2]
检索车型子页面确定键,ByXPath,html/body/div[2]/div[1]/div/div/div[2]/em/button
检索车型子页面车型商标输入框,ByXPath,html/body/div[1]/div[1]/div[1]/div[1]/table/tbody[1]/tr/td[2]/input
检索车型子页面通用名称输入框,ByXPath,html/body/div[1]/div[1]/div[1]/div[2]/table/tbody[1]/tr/td[2]/input
检索车型子页面创建时间起始,ByXPath,html/body/div[1]/div[1]/div[1]/div[1]/table/tbody[2]/tr/td[2]/table/tbody/tr/td[1]/input
检索车型子页面创建时间截止,ByXPath,html/body/div[1]/div[1]/div[1]/div[2]/table/tbody[2]/tr/td[2]/table/tbody/tr/td[1]/input
检索车型子页面检索键,ByXPath,html/body/div[1]/div[2]/div/div/div/em/button
检索车型子页面表格所有行,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr
检索车型子页面表格第一行车型商标中文,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr[2]/td[3]/div
检索车型子页面表格第一行车型商标英文,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr[2]/td[4]/div
检索车型子页面表格第一行车型中文名称,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr[2]/td[5]/div
检索车型子页面表格第一行车型英文名称,ByXPath,html/body/div[2]/div[3]/div/table/tbody/tr[2]/td[6]/div
修改键,ById,button-1034-btnEl
未选择信息错误提示,ById,messagebox-1001-displayfield-inputEl
未选择信息错误提示确定键,ById,button-1005-btnEl
表格第一行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]
表格第一行责任人名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[5]/div
修改子页面责任人名称输入框,ById,bresponsibleName-inputEl
修改子页面保存键,ById,savebtn-btnEl
修改子页面关闭键,ByXPath,.//*[@id='savebtn']/../div[2]/em/button
操作成功提示确定键,ById,button-1005-btnEl
修改子页面右上角关闭键,ByXPath,.//*[@id='modelInfoWin_header-targetEl']/div[2]
表格所有行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr
查找零部件BOM子页面查询键,ByXPath,html/body/div[1]/div[3]/div/div/div/em/button
查找零部件BOM子页面确定键,ByXPath,html/body/div[2]/div[2]/div/div/div[2]/em/button
查找零部件BOM子页面表格第一行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]
上一页,ById,button-1021-btnEl
下一页,ById,button-1027-btnEl
第一页,ById,button-1020-btnEl
最后一页,ById,button-1028-btnEl
页码输入框,ById,numberfield-1024-inputEl
总页数,ById,tbtext-1025
表格第一行序号,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[2]/div
右下角数量提示,ById,tbtext-1032
Loading框,ById,loadmask-1037
查找零部件BOM子页面查询类型输入框,ById,queryType-inputEl
查找零部件BOM子页面表单来源输入框,ById,isMdsOwner-inputEl
查找零部件BOM子页面名称输入框,ById,name-inputEl
查找零部件BOM子页面部件号输入框,ById,symbol-inputEl
查找零部件BOM子页面版本组ID输入框,ById,cid-inputEl
查找零部件BOM子页面表格第一行名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[6]/div
查找零部件BOM子页面表格第一行部件号,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[5]/div
查找零部件BOM子页面表格第一行版本组ID,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[3]/div
查找零部件BOM子页面表格所有行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr
