测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,treepanel-1014_header_hd
二级目录名称,ByXPath,.//a[@target = 'mainFrame'][text()='扩展零部件']
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
下一页,ById,button-1031-btnEl
上一页,ById,button-1025-btnEl
第一页,ById,button-1024-btnEl
最后一页,ById,button-1032-btnEl
总页数,ById,tbtext-1029
页码输入框,ById,numberfield-1028-inputEl
表格所有项,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr
表格第一行序号,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[1]/div
右下角数量提示,ById,tbtext-1036
Loading框,ById,loadmask-1041
车型名称查询,ById,mname-inputEl
品牌名称查询,ById,bname-inputEl
检索按钮,ById,button-1011-btnEl
创建时间开始,ById,fromTime-inputEl
创建时间截止,ById,toTime-inputEl
表格第一行品牌中文名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[2]/div
表格第一行品牌英文名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[3]/div
表格第一行车型中文名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[4]/div
表格第一行车型英文名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[5]/div
表格第一行时间,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[7]/div
时间错误提示,ById,messagebox-1001-displayfield-inputEl
时间错误提示确定键,ById,button-1005-btnEl
表格第一行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]
确定按钮,ById,gotoBomPage-btnEl
导出按钮,ById,button-1039-btnEl
未选择记录提示,ById,messagebox-1001-displayfield-inputEl
未选择记录提示确定键,ById,button-1005-btnEl
右侧页面,ById,ext-gen1018
子页面Loading框,ById,loadmask-1042
零部件名称输入框,ById,cname-inputEl
供货编号输入框,ById,ckid-inputEl
备注输入框,ById,remark-inputEl
检索结果所有行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr
检索结果第一行零部件名称,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[5]/div
检索结果第一行供货编号,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[6]/div
检索结果第一行备注,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]/td[9]/div
子页面检索按钮,ById,button-1012-btnEl
刷新按钮,ById,button-1038-btnEl
检索结果第一行,ByXPath,html/body/div[2]/div[4]/div/table/tbody/tr[2]
删除按钮,ById,button-1038-btnEl
子页面未选择信息错误提示,ById,messagebox-1001-displayfield-inputEl
子页面未选择信息错误提示确定键,ById,button-1005-btnEl
删除取消键,ById,button-1006-btnEl
删除确定键,ById,button-1007-btnEl
