测试元素名,搜索方式(ById/ByLinkText/ByPartialLinkText/ByName/ByTagName/ByXPath/ByClassName/ByCssSelector),页面元素名
一级目录名称,ById,tool-1036-toolEl
二级目录名称,ByXPath,.//*[@id='treeview-1017']/table/tbody/tr[3]/td/div/a
leftFrame,ByName,leftFrame
rightFrame,ByName,mainFrame
,,
车型商标输入框,ById,bname-inputEl
通用名称输入框,ById,mname-inputEl
创建时间起点输入框,ById,fromTime-inputEl
创建时间终点输入框,ById,toTime-inputEl
检索按钮,ById,button-1011-btnEl
新增BOM按钮,ById,button-1037-btnEl
查看BOM按钮,ById,button-1038-btnEl
修改BOM按钮,ById,button-1039-btnEl
删除BOM按钮,ById,button-1040-btnEl
错误信息确定按钮,ById,button-1005-btnEl
删除BOM确认提示信息是按钮,ById,button-1006-btnEl
删除BOM确认提示信息否按钮,ById,button-1007-btnEl
,,
检索结果所有行,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr
检索结果第一行车型中文商标,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]/td[3]/div
检索结果第一行车型英文商标,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]/td[4]/div
检索结果第一行车型中文名称,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]/td[5]/div
检索结果第一行车型英文名称,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]/td[6]/div
检索结果第一行更新时间,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]/td[7]/div
检索结果第一行BOM值,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]/td[8]/div
检索BOM为是的行,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]
检索BOM为否的行,ByXPath,.//*[@id='gridview-1021']/table/tbody/tr[2]
,,
开始时间早于结束时间错误信息,ById,messagebox-1001-displayfield-inputEl
上一页按钮,ById,button-1024-btnEl
下一页按钮,ById,button-1030-btnEl
最后页按钮,ById,button-1031-btnEl
页码显示及输入框,ById,numberfield-1027-inputEl
页码总数显示,ById,tbtext-1028
提示框确定按钮,ById,button-1005
换页载入界面,ById,loadmask-1043
快速提示信息,ById,ext-quicktips-tip
载入界面,ById,maskload
,,
BOM树形图节点,ByXPath,.//*[@id='treeview-1018']/table/tbody/tr[2]
BOM树形打开按钮,ById,button-1010-btnEl
BOM树形关闭按钮,ById,button-1011-btnEl
BOM树形查找按钮,ById,button-1012-btnEl
树操作名称输入框,ById,mainform_mdsname-inputEl
树操作部件号输入框,ById,mainform_itemnum-inputEl
树操作ID编号输入框,ById,mainform_mdsid-inputEl
树操作查找按钮,ById,button-1045-btnEl
树操作取消按钮,ById,button-1046-btnEl
整体匹配按钮,ById,matchButton-btnEl
匹配结果按钮,ById,MatchresuleButton-btnEl
导出按钮,ById,exportButton-btnEl
返回按钮,ById,returnButton-btnEl
,,
匹配结果页面下载按钮,ById,button-1036-btnEl
匹配结果页面发送按钮,ById,button-1035-btnEl
匹配结果页面关闭按钮,ById,button-1037-btnEl
匹配提示信息确定按钮,ById,button-1005-btnEl
,,
保存按钮,ById,saveButton-btnEl
导入按钮,ById,uploadButton-btnEl
选取导入文件按钮,ById,textfield-1071-inputEl
确定导入按钮,ById,button-1074-btnEl
取消导入按钮,ById,button-1075-btnEl
BOM树形增加按钮,ById,addtbar-btnEl
BOM树形删除按钮,ById,deletetbar-btnEl
BOM树形挂接按钮,ById,matchtbar-btnEl
BOM树形修改按钮,ById,edittbar-btnEl
BOM树形更多按钮,ById,toolbar-1009-menu-trigger-btnEl
打开树按钮,ById,menuitem-1054
关闭树按钮,ById,menuitem-1058
查找树按钮,ById,menuitem-1056
节点确定按钮,ById,button-1005-btnEl
删除节点是按钮,ById,button-1006-btnEl
删除节点否按钮,ById,button-1007-btnEl
新增确定按钮,ById,button-1057-btnEl
,,
BOM树形第一个叶子节点,ByXPath,.//*[@id='treeview-1018']/table/tbody/tr[3]
,,
新增取消按钮,ById,button-1058-btnEl
名称输入框,ById,editText-inputEl
供货编号输入框,ById,editcsymbol-inputEl
数量输入框,ById,editquarity-inputEl
质量输入框,ById,editweight-inputEl
负责人输入框,ById,responsibleName-inputEl
,,
整体匹配界面名称输入框,ById,editText-inputEl
整体匹配界面供货编号输入框,ById,editcsymbol-inputEl
整体匹配界面数量输入框,ById,editquarity-inputEl
整体匹配界面质量输入框,ById,editweight-inputEl
整体匹配界面负责人输入框,ById,responsibleName-inputEl
整体匹配界面确定按钮,ById,button-1061-btnEl
整体匹配界面取消按钮,ById,button-1062-btnEl
操作成功确定按钮,ById,button-1005-btnEl
